goal,arrays_score,strings_score,graphs_score,dp_score,trees_score,backtracking_score,contest_rating,acceptance_rate,problems_solved
Amazon SDE,93,12,36,62,50,57,1306,68.31316950222899,1136
Amazon SDE,22,96,8,81,98,35,858,63.48557850844699,1469
Amazon SDE,48,6,30,17,11,52,1413,41.55815864165787,870
Microsoft,14,34,65,9,50,80,1721,79.52971409768546,1304
Competitive Programming,46,18,79,79,2,69,1126,34.76672554796539,1140
Interview Preparation,80,97,85,86,6,96,1961,50.517104220512444,1105
Microsoft,8,33,87,30,36,55,1511,35.19931792196611,1054
Competitive Programming,65,25,41,52,19,47,1653,80.1569671145594,131
Amazon SDE,49,69,79,97,87,43,1385,31.94612710102096,476
Microsoft,52,52,19,43,57,89,1133,53.417062725317805,1248
Amazon SDE,92,53,76,28,88,43,1562,77.39782776705503,340
Interview Preparation,41,89,45,48,18,6,1627,43.82602865062236,1492
Microsoft,45,98,62,79,26,36,1348,35.775674880898734,97
TCS,94,22,16,56,76,79,1476,36.985238236993695,1406
Campus Placement,95,62,20,93,85,65,1398,52.271430181558216,1133
Interview Preparation,57,90,19,88,35,86,1204,53.57200226112121,881
Campus Placement,0,9,49,36,59,40,1498,69.4942315547778,140
Amazon SDE,93,35,86,47,22,38,1188,43.086076523566106,1342
Campus Placement,91,93,15,82,83,95,1629,68.60118237769628,779
Campus Placement,89,97,86,95,29,35,2095,84.94367884789135,353
Google SDE,81,32,10,58,82,92,1729,77.53379801122082,1447
Campus Placement,0,72,66,11,90,7,1344,64.95658873837769,815
Google SDE,40,58,57,14,38,42,1504,81.69518755792049,395
Amazon SDE,47,64,17,55,65,14,1740,84.5110044851427,1225
Interview Preparation,82,32,90,78,33,77,1371,61.36506402486074,965
TCS,98,70,48,83,8,53,1567,45.049656914961055,286
Campus Placement,32,72,26,59,84,5,1615,80.32407927789397,1194
Infosys,71,60,25,69,83,50,1478,76.43071265731899,469
Competitive Programming,90,15,91,18,71,12,1457,34.65361938271373,1347
Microsoft,41,93,96,52,49,75,1715,81.50060859802285,31
Zoho,7,81,57,28,84,26,1919,50.14209104628591,262
Google SDE,57,63,82,61,79,33,1373,47.71472498650246,757
TCS,95,59,8,26,0,50,1772,48.87981464402755,866
Amazon SDE,82,87,7,98,1,74,953,47.60100732345586,484
TCS,29,13,83,96,68,27,1545,58.38138487311568,1092
Competitive Programming,59,45,91,82,34,70,745,61.88755469743319,520
Infosys,99,92,23,39,73,98,1167,53.409949058345234,709
Interview Preparation,9,36,84,35,44,34,1089,52.691842646027695,985
Infosys,63,82,44,68,9,19,1891,70.55225870440427,199
Interview Preparation,35,5,59,19,62,74,1315,30.166514605285773,967
Infosys,15,68,9,97,25,84,1385,82.07875538548633,696
Microsoft,2,10,11,47,78,1,1333,69.2938510874908,967
Microsoft,85,70,58,70,2,20,966,68.89888907208797,572
Amazon SDE,85,9,81,97,78,90,1486,53.207985141472186,1277
Competitive Programming,84,17,22,54,45,41,1422,83.11827519010552,841
Campus Placement,93,96,60,57,38,21,1156,30.017777742444768,1164
TCS,26,78,37,91,79,88,1813,34.20647755638153,656
Zoho,65,74,95,38,49,57,1804,74.22353667280441,30
Microsoft,71,81,93,85,59,35,1022,70.62854846240958,850
Microsoft,42,92,54,40,86,94,1193,44.92455228904029,176
Interview Preparation,22,2,52,49,18,15,1540,62.711793407077685,1307
Amazon SDE,38,29,10,58,9,36,1260,59.2629068151619,397
Zoho,37,50,76,55,3,20,1334,58.99131092844757,610
Interview Preparation,35,12,57,52,96,92,1094,62.75587174126899,325
Interview Preparation,13,89,38,62,38,64,1097,84.65544133569801,23
Interview Preparation,94,18,94,40,76,58,1243,84.30397187588241,251
Microsoft,56,10,15,29,74,66,1439,83.99249318292298,786
TCS,46,68,29,54,42,25,1459,60.17764150208704,1379
Zoho,50,24,12,84,71,34,1154,47.495164109628426,574
Zoho,18,92,91,60,92,8,1055,60.80605211396972,907
Zoho,29,21,98,39,97,91,1027,64.24786713406891,1373
Infosys,15,44,53,72,36,8,1696,47.12909378048555,101
Competitive Programming,75,88,17,35,84,76,2037,64.80267532328065,1400
Microsoft,63,31,49,12,17,22,1529,64.20968504466506,965
Google SDE,59,34,28,45,28,52,629,79.69092767823955,1488
Competitive Programming,87,56,82,96,93,48,1570,43.068200081497274,1461
Interview Preparation,41,51,3,89,45,37,1755,68.36854041863891,518
Campus Placement,37,54,62,0,49,2,1205,54.791875520177385,785
Zoho,60,63,36,59,16,20,1663,37.14536210786437,44
Campus Placement,95,80,35,1,22,30,1721,47.390047032235756,215
Google SDE,49,89,19,35,5,60,1786,33.1502368945866,1114
Microsoft,18,2,77,44,90,44,1224,47.563305751878296,1421
Google SDE,39,35,18,93,34,45,1422,33.79575060020657,1035
Competitive Programming,46,59,38,79,36,14,1454,80.8994780743789,1031
Google SDE,61,96,6,8,88,80,1795,35.59602761738554,1423
Campus Placement,68,30,26,14,48,77,1277,74.95377482549713,575
Google SDE,45,6,29,38,2,15,1682,79.83695257032323,1139
Google SDE,62,83,76,54,39,16,1481,55.7218806897158,712
Microsoft,46,82,96,58,59,25,1687,32.965941880085346,411
Microsoft,1,44,97,85,34,77,1627,62.76821258841729,739
Infosys,50,39,35,78,39,44,1203,42.912261106604674,171
Zoho,95,68,99,3,58,99,1480,39.716212201957845,211
Interview Preparation,90,31,23,15,3,21,1192,61.17201394178768,1005
TCS,1,45,63,10,40,66,1393,49.60103171608158,279
Competitive Programming,36,16,97,95,54,66,1924,70.17082172655651,825
Microsoft,36,54,96,21,4,78,1272,62.518808043082096,1304
Interview Preparation,56,7,24,64,64,67,1216,75.61377005467673,465
Zoho,21,98,85,53,30,31,1344,33.211222501851026,1495
Microsoft,97,5,10,89,59,15,1602,42.92054745988399,1285
Interview Preparation,63,62,64,2,42,59,1600,61.18443262141943,1026
Zoho,90,43,37,95,8,29,1508,78.42355278450059,305
Infosys,80,67,91,96,90,96,1160,74.73874200472696,729
Campus Placement,38,33,88,96,57,36,1325,67.37422364145957,347
Amazon SDE,86,0,15,65,15,7,1822,61.573961945600885,888
Amazon SDE,73,91,46,85,69,30,944,64.73025803513457,1086
Google SDE,21,90,8,56,87,93,1477,41.74842636637126,801
