problems_solved,easy_solved,medium_solved,hard_solved,arrays_count,strings_count,graphs_count,dp_count,trees_count,contest_rating,contest_count,acceptance_rate,current_streak,room_participations,room_wins,placement_score
1136,407,501,228,170,182,102,55,139,1306,88,68.31316950222899,277,37,20,58
1469,768,389,312,159,165,195,140,278,858,46,63.48557850844699,231,32,4,68
870,420,273,177,122,87,59,123,107,1413,12,41.55815864165787,112,45,31,49
1304,516,528,260,182,306,112,37,144,1721,22,79.52971409768546,178,29,18,76
1140,641,305,194,128,151,37,138,168,1126,43,34.76672554796539,279,2,0,49
1105,550,343,212,270,181,52,95,210,1961,8,50.517104220512444,225,0,0,58
1054,574,283,197,185,259,30,88,60,1511,58,35.19931792196611,72,9,2,55
131,67,31,33,36,29,8,18,9,1653,29,80.1569671145594,60,48,14,30
476,258,111,107,71,55,44,45,33,1385,83,31.94612710102096,1,0,0,38
1248,551,397,300,237,219,62,157,78,1133,43,53.417062725317805,364,47,20,62
340,192,91,57,77,71,43,27,32,1562,48,77.39782776705503,88,32,13,32
1492,712,427,353,411,305,219,67,125,1627,15,43.82602865062236,3,28,12,78
97,52,22,23,19,20,2,10,12,1348,85,35.775674880898734,231,34,17,25
1406,653,513,240,245,237,17,195,139,1476,73,36.985238236993695,57,36,0,64
1133,486,361,286,309,143,136,144,125,1398,83,52.271430181558216,126,30,3,61
881,476,176,229,142,149,32,33,168,1204,52,53.57200226112121,268,45,16,43
140,68,43,29,16,27,8,7,10,1498,1,69.4942315547778,220,45,25,32
1342,611,463,268,253,256,87,110,145,1188,66,43.086076523566106,223,49,19,66
779,351,306,122,200,86,107,70,68,1629,41,68.60118237769628,154,6,3,50
353,204,85,64,37,38,36,13,46,2095,63,84.94367884789135,29,19,14,51
1447,686,421,340,314,354,22,61,232,1729,7,77.53379801122082,109,42,24,72
815,337,355,123,178,100,9,94,140,1344,72,64.95658873837769,358,21,15,59
395,166,139,90,112,56,14,44,50,1504,91,81.69518755792049,251,41,0,35
1225,608,415,202,192,263,66,156,218,1740,20,84.5110044851427,317,11,3,72
965,497,326,142,150,155,75,135,161,1371,96,61.36506402486074,192,9,2,54
286,159,65,62,53,36,36,15,21,1567,59,45.049656914961055,10,37,20,40
1194,539,418,237,204,203,64,155,103,1615,33,80.32407927789397,342,30,22,81
469,211,159,99,115,86,29,48,70,1478,3,76.43071265731899,16,39,1,40
1347,715,346,286,307,226,75,194,264,1457,88,34.65361938271373,154,38,1,61
31,13,13,5,7,7,0,1,3,1715,61,81.50060859802285,116,44,23,23
262,135,55,72,69,37,37,12,22,1919,95,50.14209104628591,228,20,5,32
757,376,205,176,215,150,22,82,136,1373,75,47.71472498650246,290,22,3,50
866,396,301,169,161,101,43,121,69,1772,1,48.87981464402755,186,30,22,64
484,285,116,83,143,76,13,60,74,953,49,47.60100732345586,160,43,0,35
1092,409,494,189,156,230,85,122,60,1545,75,58.38138487311568,54,43,9,61
520,262,201,57,126,69,73,33,27,745,25,61.88755469743319,207,29,7,37
709,328,182,199,146,133,17,78,83,1167,84,53.409949058345234,330,21,13,47
985,492,252,241,259,121,70,120,146,1089,36,52.691842646027695,51,44,19,51
199,113,46,40,38,22,2,22,14,1891,54,70.55225870440427,18,20,5,31
967,430,325,212,248,172,114,101,159,1315,99,30.166514605285773,241,40,5,62
696,397,169,130,199,140,69,11,48,1385,17,82.07875538548633,187,19,3,36
967,503,236,228,238,113,104,98,125,1333,23,69.2938510874908,9,27,0,60
572,184,243,145,145,135,43,44,55,966,29,68.89888907208797,321,38,25,38
1277,676,283,318,144,170,175,184,207,1486,16,53.207985141472186,6,15,1,70
841,434,299,108,118,99,56,79,143,1422,79,83.11827519010552,89,18,11,58
1164,731,211,222,343,151,95,110,69,1156,41,30.017777742444768,167,23,2,54
656,331,218,107,156,82,70,97,51,1813,80,34.20647755638153,197,42,30,50
30,13,9,8,6,3,2,0,5,1804,11,74.22353667280441,10,30,16,28
850,413,270,167,147,186,31,41,95,1022,26,70.62854846240958,51,4,1,50
176,93,48,35,19,30,9,17,21,1193,54,44.92455228904029,355,16,5,26
1307,598,502,207,227,206,29,70,98,1540,3,62.711793407077685,139,0,0,66
397,211,130,56,79,96,28,23,79,1260,34,59.2629068151619,219,36,6,36
610,316,207,87,86,94,58,82,114,1334,64,58.99131092844757,189,29,21,48
325,158,87,80,43,40,8,29,16,1094,75,62.75587174126899,328,31,4,30
23,13,5,5,4,3,2,0,3,1097,28,84.65544133569801,150,31,4,17
251,92,112,47,54,34,33,13,45,1243,71,84.30397187588241,295,1,0,32
786,361,294,131,116,137,45,16,90,1439,71,83.99249318292298,197,33,25,50
1379,575,457,347,299,198,56,121,159,1459,75,60.17764150208704,305,43,15,64
574,218,218,138,160,101,77,19,61,1154,35,47.495164109628426,63,28,7,47
907,413,270,224,176,181,96,117,49,1055,33,60.80605211396972,146,4,3,46
1373,640,396,337,372,297,33,124,231,1027,35,64.24786713406891,211,29,17,65
101,48,27,26,28,20,6,1,11,1696,54,47.12909378048555,273,42,31,26
1400,692,539,169,165,183,146,72,181,2037,3,64.80267532328065,96,44,8,67
965,434,327,204,114,113,87,92,85,1529,10,64.20968504466506,92,17,10,53
1488,885,416,187,290,269,143,84,249,629,58,79.69092767823955,328,13,9,57
1461,854,354,253,317,189,130,119,246,1570,2,43.068200081497274,299,36,15,70
518,231,156,131,95,58,63,71,68,1755,73,68.36854041863891,313,10,3,47
785,400,232,153,129,140,43,46,145,1205,11,54.791875520177385,61,3,0,46
44,18,15,11,10,6,4,2,2,1663,72,37.14536210786437,90,21,9,21
215,95,75,45,21,45,31,26,36,1721,20,47.390047032235756,308,48,7,18
1114,658,201,255,327,163,71,60,149,1786,97,33.1502368945866,358,45,15,64
1421,636,477,308,208,350,171,29,120,1224,21,47.563305751878296,60,2,1,70
1035,416,373,246,293,221,46,36,72,1422,17,33.79575060020657,305,23,12,51
1031,461,378,192,125,112,50,147,98,1454,5,80.8994780743789,53,33,18,66
1423,636,460,327,210,250,200,200,253,1795,88,35.59602761738554,297,7,3,79
575,296,141,138,84,106,7,23,96,1277,78,74.95377482549713,186,23,0,39
1139,510,479,150,340,232,46,99,167,1682,64,79.83695257032323,263,15,0,62
712,393,195,124,71,124,55,20,45,1481,54,55.7218806897158,237,5,2,37
411,148,182,81,93,70,27,42,79,1687,39,32.965941880085346,268,20,15,34
739,323,283,133,202,114,72,26,70,1627,81,62.76821258841729,198,31,4,49
171,92,58,21,40,24,6,2,24,1203,51,42.912261106604674,334,38,21,24
211,75,84,52,36,51,4,26,35,1480,43,39.716212201957845,357,21,7,27
1005,492,365,148,293,148,62,55,70,1192,94,61.17201394178768,298,46,5,55
279,139,69,71,77,30,23,7,41,1393,61,49.60103171608158,247,8,0,15
825,384,304,137,154,103,73,104,45,1924,83,70.17082172655651,255,17,9,62
1304,522,526,256,279,298,122,152,85,1272,88,62.518808043082096,158,11,1,67
465,239,133,93,136,87,40,49,73,1216,96,75.61377005467673,332,5,1,35
1495,792,510,193,443,324,66,205,109,1344,73,33.211222501851026,294,26,8,67
1285,660,261,364,244,284,150,100,149,1602,28,42.92054745988399,93,43,24,71
1026,453,382,191,276,229,22,28,89,1600,18,61.18443262141943,182,38,11,50
305,162,90,53,48,55,11,5,34,1508,27,78.42355278450059,18,46,14,37
729,372,237,120,127,92,82,39,44,1160,90,74.73874200472696,195,0,0,51
347,162,102,83,46,42,17,7,56,1325,18,67.37422364145957,64,14,0,36
888,442,288,158,125,165,70,75,54,1822,30,61.573961945600885,295,13,7,60
1086,501,397,188,251,168,60,13,190,944,53,64.73025803513457,351,12,5,42
801,405,181,215,161,147,64,57,119,1477,98,41.74842636637126,203,20,8,53
226,113,75,38,33,39,13,7,25,1334,61,62.73562531355641,75,45,12,26
773,275,325,173,139,147,115,47,139,1540,13,57.15688741031779,211,46,3,48
197,86,79,32,34,20,11,20,15,1440,49,51.14389645701152,244,40,2,26
389,183,112,94,115,40,38,23,34,949,58,78.82517843989687,112,49,13,40
502,224,174,104,135,104,67,29,35,1576,69,75.61786486108943,29,5,2,37
1074,451,378,245,190,138,106,159,115,1107,57,34.220461286322504,246,19,13,56
1190,512,432,246,336,235,106,131,235,1045,8,84.21511928669713,235,3,1,55
24,11,6,7,4,4,2,1,1,1415,56,42.64913116349282,176,39,24,15
74,36,23,15,17,18,5,6,12,1276,40,41.84366630380466,92,18,0,17
530,215,204,111,155,119,65,51,78,1160,26,81.90989354741981,168,42,6,46
1377,610,514,253,245,223,23,18,72,1283,57,54.46413353827676,85,39,29,70
1162,677,333,152,274,223,155,24,222,1180,80,74.29505869765373,108,9,6,56
657,400,157,100,104,77,60,66,128,1864,99,45.85112534631582,304,4,0,44
